,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
supervised learning,0,0,0,0,0,0,4,0,0,0,5,0,7,0,0,0,0,7,0,5,27,35,67,59,68,128,204,322,437,698,872,910,1037,1013,1035,916,7856
pretrained models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,35,72,219,496,781,1164,1607,1819,1594,7801
two different,0,0,0,0,0,3,3,4,3,0,7,5,7,10,8,12,18,29,34,59,80,98,134,154,224,238,260,402,492,682,879,843,833,876,827,573,7797
method outperforms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,17,22,21,44,74,152,214,333,501,699,899,966,1221,1238,1362,7778
better performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,10,20,13,41,44,78,102,124,151,200,300,469,640,797,986,1064,976,978,757,7766
classification tasks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,19,34,45,69,118,190,344,500,726,827,939,1137,1470,1327,7760
performance proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,17,23,46,71,119,141,170,196,280,354,473,659,868,871,862,980,919,683,7746
polynomial time,0,0,0,0,0,5,0,7,12,17,15,17,16,19,26,27,64,77,139,196,239,213,315,348,368,392,395,456,493,529,571,498,513,603,570,524,7664
social networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,9,26,27,42,141,229,342,436,472,451,513,495,559,537,632,528,562,528,607,509,7663
learning algorithm,0,0,0,0,0,3,3,0,4,5,5,9,19,0,4,17,3,7,19,31,49,86,103,115,158,204,277,351,536,675,917,813,820,881,798,675,7587
model training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,82,139,310,461,684,879,1233,1784,1947,7578
labeled data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,30,14,28,63,119,184,333,511,774,825,977,1138,1205,1358,7570
theoretical analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,21,27,32,51,83,99,107,156,196,244,295,419,601,615,748,918,1262,1677,7568
resource allocation,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,14,35,55,39,57,123,134,133,260,219,279,366,403,493,653,625,589,731,991,1348,7568
learning based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,14,25,25,49,143,308,600,861,1112,1086,1048,883,792,579,7557
attention mechanism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,27,113,184,387,575,744,904,900,933,1274,1500,7545
first time,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,13,11,19,17,50,58,61,99,100,149,205,249,354,448,709,733,885,1032,1183,1117,7504
stateoftheart results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,25,41,95,204,289,452,637,822,924,867,984,971,1170,7495
data analysis,0,0,0,0,0,0,0,0,0,3,0,3,0,14,5,6,7,19,24,24,50,54,92,124,145,184,225,292,448,498,600,657,695,892,1203,1208,7472
address challenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,21,28,24,53,72,129,240,324,380,472,1092,1902,2658,7411
different types,0,0,0,0,3,0,0,0,0,0,3,4,11,5,8,10,13,16,19,36,54,66,95,120,139,173,212,276,427,558,772,833,894,949,1003,692,7391
knowledge distillation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,88,283,607,766,1104,1314,1561,1626,7389
prior knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,8,18,26,48,59,62,71,93,177,235,335,512,622,704,758,1006,1255,1377,7382
selfsupervised learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,41,174,471,982,1389,1478,1471,1262,7297
address issues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,11,13,17,30,35,51,78,140,239,333,409,552,1030,1868,2460,7283
significantly improves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,5,17,20,28,37,42,55,111,144,234,319,456,501,579,866,1537,2317,7283
data set,0,0,0,0,0,0,0,0,0,6,4,4,0,4,4,6,6,11,30,28,59,57,123,151,182,248,311,441,534,748,965,909,857,752,502,335,7277
recommender systems,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,7,14,29,21,66,41,71,93,103,186,306,474,570,738,835,1137,1310,1237,7251
performance across,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,8,12,18,39,76,92,151,229,278,716,2002,3582,7212
energy efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,43,29,30,32,41,84,154,205,214,283,322,405,485,532,520,581,771,1056,1365,7166
high accuracy,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,8,23,16,40,49,55,84,125,206,332,510,666,696,721,899,1210,1508,7156
knowledge graph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,56,93,190,477,697,795,1036,1121,1289,1362,7154
demonstrate method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,16,13,39,36,72,119,176,287,440,550,620,988,1464,2303,7145
recent work,0,0,0,0,0,0,4,0,0,0,0,0,9,4,3,11,9,14,18,35,45,64,86,114,107,149,188,228,358,507,671,769,803,848,893,1191,7128
active learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,37,66,59,63,104,131,195,367,584,715,847,930,1037,1028,893,7106
decision making,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,8,9,19,26,28,42,69,155,232,135,127,178,280,446,605,777,797,734,707,783,911,7083
using deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,97,217,425,661,804,960,913,852,769,724,614,7069
present new,0,0,0,0,0,4,3,3,0,5,12,7,10,15,9,20,14,26,46,58,91,111,184,198,188,229,325,381,501,611,673,698,710,727,630,539,7028
data collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,9,19,25,42,48,48,46,129,144,239,382,539,629,745,926,1323,1622,6927
visionlanguage models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,130,703,1931,4076,6867
mutual information,0,0,0,0,0,0,0,0,0,0,4,8,11,15,30,35,28,65,64,63,84,87,150,141,162,191,233,269,342,477,624,717,731,724,740,837,6832
remote sensing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,16,9,9,38,36,32,64,165,238,265,478,520,608,1033,1466,1833,6826
work introduce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,9,13,17,24,32,77,109,190,281,349,486,517,784,1512,2397,6818
model based,0,0,0,0,0,6,0,0,0,0,4,0,4,7,7,10,11,14,20,22,47,60,94,86,120,134,201,309,362,499,633,648,715,872,1027,848,6760
objective function,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,9,5,25,23,56,78,102,139,164,194,290,306,426,623,829,674,736,727,739,595,6752
deep learningbased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,68,169,394,663,864,918,1130,1248,1261,6739
image generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,81,150,214,338,323,518,1055,1739,2278,6737
algorithm based,0,0,0,0,0,0,0,0,6,0,3,7,9,0,14,23,27,37,45,51,112,121,187,215,212,290,298,380,448,512,637,605,656,648,654,533,6730
differential privacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,20,60,84,55,95,101,155,217,275,456,608,731,910,867,1018,1041,6717
generative model,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,10,12,34,34,36,96,123,232,385,544,628,663,737,968,1102,1098,6713
network architecture,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,6,6,8,10,16,29,44,112,191,363,549,747,863,802,764,719,765,703,6708
approach based,0,0,0,0,0,3,0,0,3,0,5,5,6,3,10,14,24,26,22,27,85,88,141,158,158,180,221,325,483,564,690,685,669,693,761,646,6695
model parameters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,10,14,32,48,54,65,91,102,189,264,380,635,698,753,948,1187,1158,6641
solve problem,0,0,0,0,0,0,0,0,0,0,7,6,3,9,3,12,12,19,20,42,48,88,84,128,153,167,220,301,379,534,756,729,811,821,733,552,6637
large scale,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,14,19,7,19,49,72,76,130,167,218,271,368,421,497,696,849,631,529,546,510,514,6619
also provide,0,0,0,0,0,0,0,0,0,3,3,0,4,5,3,11,14,20,29,47,73,85,105,109,142,194,210,247,387,514,645,653,668,805,789,789,6554
previous works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,12,25,19,30,55,46,79,98,145,170,310,472,644,731,952,1073,1027,619,6520
continual learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,99,224,434,681,853,1226,1377,1539,6458
adversarial examples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,76,270,658,855,897,902,751,839,712,470,6451
paper investigate,0,0,0,0,0,0,0,0,3,0,0,0,4,5,4,8,13,24,29,42,51,87,110,136,185,200,246,295,374,488,603,611,616,722,803,792,6451
propose two,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,10,8,17,31,56,85,105,112,148,176,248,363,518,638,676,712,753,810,935,6413
consider problem,0,0,0,0,0,0,0,0,4,0,3,6,17,8,16,22,30,45,62,87,112,170,234,232,265,271,326,407,440,543,613,591,520,526,451,395,6396
methods often,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,8,16,22,34,56,83,116,177,221,300,638,1716,2972,6377
dynamical systems,0,0,0,0,0,0,0,0,0,4,10,8,3,6,0,5,10,9,15,14,46,71,96,78,84,120,131,187,267,412,589,640,680,796,942,1136,6359
classification accuracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,15,6,9,26,32,54,63,117,176,261,389,567,675,654,646,661,870,1124,6351
internet things,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,9,52,54,125,227,341,505,622,790,797,659,669,771,707,6345
new approach,0,0,0,0,4,0,3,0,7,4,8,12,8,9,12,18,29,31,42,55,90,103,172,221,181,200,244,286,372,530,596,572,604,695,679,557,6344
case studies,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,0,6,8,8,12,23,26,48,65,87,110,154,192,248,391,510,618,620,763,1041,1396,6340
recently proposed,0,0,0,0,0,0,0,0,4,0,3,0,6,5,11,5,14,17,26,34,56,77,92,110,154,200,242,297,399,607,702,749,693,641,633,551,6328
knowledge first,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,8,8,14,36,43,47,79,106,104,169,232,344,498,573,657,716,735,829,1101,6309
also propose,0,0,0,0,0,0,0,3,0,4,0,0,4,6,3,3,9,8,15,15,45,44,76,72,106,153,175,260,386,504,683,664,766,754,817,729,6304
evaluate performance,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,6,13,8,28,35,62,75,97,123,175,221,325,443,567,595,612,904,1019,975,6294
learning method,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,14,17,38,35,46,74,140,185,368,445,655,793,889,907,936,730,6281
problem propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,6,17,16,35,41,60,69,122,136,235,333,478,639,732,878,876,854,726,6264
simple yet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,16,15,22,22,44,66,85,116,212,315,434,644,831,970,1126,1327,6262
partial differential,0,0,0,0,0,0,0,0,8,6,10,6,8,8,5,9,10,3,9,0,10,42,33,38,40,51,71,135,159,416,567,701,758,873,1142,1142,6260
show approach,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,5,5,7,21,32,45,67,61,113,205,259,353,581,652,728,720,778,708,909,6260
adversarial training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,133,387,571,831,931,944,920,764,706,6233
big data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,167,278,433,455,566,661,681,677,612,484,390,438,332,6223
without requiring,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,8,4,7,10,14,30,53,69,84,134,163,242,339,397,446,683,1082,2434,6215
learning approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,30,33,41,86,188,314,468,676,699,759,820,941,1126,6199
optimal control,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,4,19,27,82,64,50,96,109,142,218,255,421,663,698,694,809,837,992,6192
error rate,0,0,0,0,3,0,4,0,5,0,5,6,0,0,0,12,29,38,34,42,54,68,135,127,150,139,193,287,382,513,621,640,625,645,658,770,6185
real data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,11,16,29,61,83,93,113,148,195,253,386,515,648,668,667,682,820,773,6173
wireless networks,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,25,36,100,99,119,219,203,264,230,267,288,312,333,369,340,396,452,468,465,549,613,6155
realworld scenarios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,7,8,7,27,52,74,130,227,312,436,1008,1755,2092,6145
paper consider,0,0,0,0,0,0,0,0,0,4,4,0,4,5,9,11,22,28,36,87,127,160,185,227,263,315,300,380,413,531,630,593,560,504,440,300,6138
challenging due,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,8,7,29,36,63,85,154,258,326,403,478,795,1262,2211,6133
bridge gap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,5,12,11,15,25,33,45,58,121,171,292,374,418,752,1424,2358,6127
remains challenging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,11,12,25,37,89,133,221,262,336,428,639,1152,2746,6109
significant improvements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,3,10,19,23,34,50,67,91,138,248,386,401,443,470,702,1342,1660,6108
adversarial networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,84,415,722,884,858,834,678,620,565,431,6103
feature selection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,27,33,63,111,96,195,146,192,252,340,466,699,532,543,652,855,872,6093
previous methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,6,11,31,30,40,57,89,156,232,374,473,605,741,998,1260,972,6090
open source,0,0,0,0,0,0,0,0,0,0,0,7,0,16,4,0,11,11,18,26,46,48,87,92,156,164,171,298,419,460,575,612,637,595,765,842,6060
software engineering,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,8,14,14,13,40,38,54,80,131,83,95,169,294,339,413,597,421,757,984,1499,6052
sentiment analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,49,79,110,159,262,337,414,621,655,575,780,1003,938,6007
tasks however,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,14,19,45,80,166,277,308,451,561,1037,1433,1584,5990
promising results,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,8,9,9,12,24,29,32,77,130,195,310,364,580,674,734,949,1028,816,5987
training process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,24,62,134,270,397,562,591,755,972,1218,960,5965
success rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,18,4,12,10,22,33,40,83,137,222,348,415,545,737,1266,2059,5964
significant challenges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,7,9,10,18,37,55,72,100,126,143,592,1895,2851,5928
markov decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,18,29,51,75,148,117,120,116,147,216,269,450,553,624,666,686,756,870,5925
new method,0,0,0,0,0,5,0,4,0,4,8,5,4,9,7,18,19,19,24,45,58,76,118,138,166,186,241,281,354,499,616,596,632,651,662,456,5901
current stateoftheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,23,24,44,76,113,156,300,414,548,613,697,857,1102,906,5900
evaluation metrics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,17,14,28,67,101,147,245,398,530,615,855,1253,1614,5894
convergence rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,9,7,24,33,77,103,96,138,173,210,343,459,609,640,696,704,804,725,5861
many applications,0,0,0,0,0,0,3,4,0,0,8,3,0,0,5,7,5,17,15,22,54,78,118,116,155,201,211,312,421,558,624,646,647,629,576,426,5861
state space,0,0,0,0,0,0,0,0,0,0,6,0,0,5,5,0,11,10,14,37,58,73,116,96,91,113,133,208,228,319,361,382,452,505,1340,1275,5838
training set,0,0,0,0,0,0,0,3,0,0,4,0,7,0,0,0,0,5,0,3,10,25,23,50,64,84,150,212,351,500,655,670,782,765,834,631,5828
stochastic gradient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,18,20,73,89,166,215,318,508,630,736,620,593,589,626,606,5817
information retrieval,0,0,0,0,4,3,9,7,6,12,15,3,9,15,15,6,12,21,14,49,75,70,104,99,122,145,159,244,357,332,423,413,459,650,928,1032,5812
pretrained language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,210,510,924,1382,1324,915,496,5776
loss functions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,11,5,22,33,62,78,91,171,281,468,615,711,668,781,852,902,5766
two key,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,8,14,25,23,33,42,51,84,100,156,239,266,336,518,1123,2731,5760
multitask learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,7,29,17,28,37,95,198,386,494,647,733,727,772,762,803,5750
empirical results,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,3,0,8,5,8,18,38,70,75,57,89,118,153,236,357,446,520,563,730,956,1279,5743
upper bounds,0,0,0,0,0,0,0,0,0,0,0,7,8,11,4,28,52,33,75,89,128,147,161,191,215,269,274,319,326,390,410,451,497,501,559,595,5740
results suggest,0,0,0,0,0,0,0,0,3,0,0,5,3,3,5,4,7,6,8,18,20,38,58,69,80,88,146,185,273,373,519,577,559,722,791,1152,5712
use cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,9,13,17,29,36,53,81,121,263,309,483,606,628,799,1148,1093,5700
theoretical results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,15,8,30,30,60,81,78,94,122,165,198,284,418,600,589,645,679,764,820,5692
computationally efficient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,23,31,43,87,78,91,115,185,199,290,393,450,552,526,641,798,1169,5687
model predictive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,22,32,81,58,136,197,352,502,584,668,764,1008,1196,5640
target domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,19,35,57,118,286,414,678,794,877,896,805,604,5607
image quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,15,29,33,64,97,151,233,358,380,484,567,740,1161,1268,5603
however current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,23,23,31,37,72,129,179,270,397,485,856,1393,1630,5548
data distribution,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,7,8,14,18,27,24,28,55,115,202,302,466,568,712,883,1091,971,5498
end propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,12,21,26,30,50,108,206,264,470,628,783,923,1002,912,5449
search space,0,0,0,0,3,3,5,0,0,3,4,0,0,3,6,5,6,7,19,20,26,72,80,85,86,70,118,180,215,468,588,657,598,652,676,788,5443
also present,0,0,0,0,3,0,0,0,0,3,5,3,6,5,13,13,16,14,35,61,70,88,116,126,141,152,210,255,350,417,540,543,528,548,587,594,5442
challenges propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,7,9,17,27,58,90,158,177,254,614,1348,2661,5430
numerical simulations,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,9,18,16,21,41,63,103,102,111,128,173,208,225,354,491,557,561,674,730,815,5414
competitive performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,18,48,68,114,193,270,389,485,651,714,1000,1428,5400
realworld data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,20,39,27,60,72,100,142,214,315,479,542,566,741,953,1109,5397
predictive control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,27,29,68,48,117,166,324,474,577,658,707,979,1172,5387
unlabeled data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10,31,20,26,44,109,115,211,395,569,690,797,810,831,705,5376
model achieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,33,84,115,223,356,476,503,562,717,857,1425,5370
orders magnitude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,6,15,24,32,58,70,75,100,138,210,238,312,369,533,520,553,605,672,824,5366
software development,0,0,0,0,0,0,0,0,0,0,0,3,0,15,4,0,21,10,15,19,69,39,120,104,177,111,131,205,201,259,323,503,373,598,889,1171,5360
systems paper,0,0,0,0,0,0,0,0,4,5,3,6,4,6,9,5,13,19,21,37,78,101,100,121,149,205,218,241,316,378,490,479,486,527,575,761,5357
high performance,0,0,0,0,0,0,0,0,0,0,3,0,0,15,5,5,5,13,24,23,33,49,66,69,120,148,184,215,316,390,501,548,536,557,738,791,5354
issue propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,10,12,25,29,47,92,198,310,434,541,1042,1277,1317,5351
without need,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,8,8,13,15,25,30,45,51,67,119,153,250,340,407,491,527,750,1168,857,5340
action recognition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,57,116,211,278,291,495,675,596,635,710,683,564,5336
study problem,0,0,0,0,0,0,0,0,4,0,0,0,3,5,6,11,9,8,27,39,62,97,116,115,150,185,211,291,370,430,525,569,526,533,493,535,5320
semantic information,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,4,4,12,10,17,18,20,58,79,89,214,271,367,477,631,860,1128,1038,5312
autonomous vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,16,41,122,269,390,550,610,566,782,1022,913,5294
feature space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,9,8,23,45,28,56,86,130,197,240,384,572,529,624,717,842,796,5293
paper investigates,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,12,9,22,17,21,45,57,86,99,97,118,157,160,205,247,351,406,401,590,935,1234,5280
medical imaging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5,10,16,18,20,26,46,73,170,261,392,418,532,756,1114,1410,5276
proposed methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,16,40,51,47,85,124,150,209,308,431,527,599,646,652,741,612,5256
three different,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,10,13,11,22,40,39,43,88,84,115,146,198,308,434,538,640,636,685,660,521,5244
consistently outperforms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,6,15,24,34,55,79,108,215,260,324,465,881,2762,5242
demonstrate approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,14,24,20,38,46,77,147,194,302,347,394,468,653,980,1510,5230
sample complexity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,17,12,40,77,106,111,141,227,261,372,549,518,590,721,728,743,5227
code generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,14,10,29,17,27,39,39,58,67,118,239,673,1477,2388,5215
small number,0,0,0,0,3,0,0,0,4,3,0,0,4,4,0,8,8,21,26,40,66,58,87,151,129,169,180,260,326,451,458,514,526,620,572,517,5205
running time,0,0,0,0,0,0,0,0,0,0,15,0,7,14,6,11,36,36,55,64,94,118,174,207,196,271,245,303,382,425,389,439,417,458,434,399,5195
power consumption,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,25,18,12,57,47,95,145,178,183,221,238,315,381,454,447,439,548,681,702,5192
propose method,0,0,0,0,3,0,0,0,4,0,3,0,0,0,4,0,7,8,8,14,26,34,55,62,74,105,136,232,350,471,530,566,511,697,713,568,5181
knowledge graphs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,36,94,142,289,487,528,526,806,1044,1182,5177
proposed scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,26,31,41,80,111,126,145,195,202,207,319,422,391,481,486,510,445,514,422,5174
address limitations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,23,47,65,101,174,198,505,1197,2838,5170
networks cnns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,73,162,284,475,570,600,635,509,492,698,634,5162
paper show,0,0,0,0,0,0,3,0,0,3,6,6,12,13,15,11,17,32,41,72,112,127,124,175,191,213,209,299,382,433,462,476,508,472,403,339,5156
real time,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,6,6,16,28,88,72,126,125,127,152,182,247,341,341,413,411,417,423,556,1031,5121
recent studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,12,9,15,32,32,42,64,93,175,223,337,460,578,746,1051,1230,5108
practical applications,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,11,13,10,21,29,42,37,58,69,77,101,131,194,244,325,386,436,696,1138,1078,5107
proposes novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,8,11,33,28,35,46,86,128,193,245,391,445,577,765,1016,1069,5101
research directions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,9,5,20,28,36,62,68,114,183,261,396,502,579,721,984,1112,5093
