N-Gram,2020,2021,2022,2023,2024,2025,Total
heterogeneous agents,0,0,0,0,0,3,3
grassroots innovation actors,0,0,0,3,0,0,3
first principles,0,0,0,0,0,3,3
heterogeneous effects,3,0,0,0,0,0,3
first movers,0,3,0,0,0,0,3
removal subsidy,0,0,3,0,0,0,3
development municipalities,0,0,3,0,0,0,3
dictionary model,0,0,0,0,3,0,3
regional carbon,0,0,0,3,0,0,3
heterogeneous triopoly,0,3,0,0,0,0,3
heterogeneous triopoly games,0,3,0,0,0,0,3
startup ecosystem,0,3,0,0,0,0,3
inverted ushaped,0,0,0,0,3,0,3
renewable energy systems,0,0,3,0,0,0,3
social preferences moral concerns,0,0,0,0,0,3,3
function approach,0,3,0,0,0,0,3
fdi urbanization,0,0,0,0,3,0,3
emission permit,0,0,0,3,0,0,3
impact egypts,0,0,0,0,3,0,3
impact egypts accession,0,0,0,0,3,0,3
predict gentrification,0,0,0,3,0,0,3
emergency medical,0,0,0,0,0,3,3
emergency medical services,0,0,0,0,0,3,3
impact egypts accession brics,0,0,0,0,3,0,3
private signals,0,3,0,0,0,0,3
industry technologies,0,0,0,0,3,0,3
emission factors,0,0,0,0,3,0,3
private private,0,3,0,0,0,0,3
effects complex,0,0,0,0,0,3,3
impact innovation,0,0,3,0,0,0,3
gross domestic product,0,0,0,3,0,0,3
game consoles,3,0,0,0,0,0,3
prior work,0,0,0,0,0,3,3
estimate marginal,0,0,0,0,3,0,3
estimate eventstudy effects complex designs,0,0,0,0,0,3,3
estimate eventstudy effects complex,0,0,0,0,0,3,3
empirical likelihood,0,0,0,0,3,0,3
prediction intervals,3,0,0,0,0,0,3
precision information,0,0,3,0,0,0,3
real datasets,0,0,0,0,0,3,3
electric vehicles,3,0,0,0,0,0,3
electric vehicle,3,0,0,0,0,0,3
effects complex designs,0,0,0,0,0,3,3
influence functions,0,0,0,0,3,0,3
robustness metric,0,3,0,0,0,0,3
influence function,0,0,0,0,3,0,3
probability weighting,0,0,0,0,3,0,3
ill posedness,0,3,0,0,0,0,3
rule yields,0,0,0,0,3,0,3
efficient extension,0,0,0,0,0,3,3
efficient extension operator,0,0,0,0,0,3,3
egypts accession,0,0,0,0,3,0,3
egypts accession brics,0,0,0,0,3,0,3
imf education,0,3,0,0,0,0,3
imf education policies,0,3,0,0,0,0,3
pre postcrisis,0,0,3,0,0,0,3
estimation riesz,0,0,0,0,0,3,3
russia uzbekistan,0,0,3,0,0,0,3
gender biases,0,0,0,0,3,0,3
gross domestic,0,0,0,3,0,0,3
electoral violence kenya,0,3,0,0,0,0,3
shed light,0,0,0,3,0,0,3
prediction model,0,3,0,0,0,0,3
gdp per capita,3,0,0,0,0,0,3
energy use fdi,0,0,0,0,3,0,3
gaussian approximation,0,0,0,0,3,0,3
price prediction,0,3,0,0,0,0,3
ratio foreign,0,0,0,0,3,0,3
prevalence open,0,0,0,3,0,0,3
energysaving technologies,0,0,0,3,0,0,3
sensitivity analysis,0,3,0,0,0,0,3
environmentally conscious behaviour,0,0,3,0,0,0,3
environmentally conscious,0,0,3,0,0,0,3
environmental performance variable,0,0,3,0,0,0,3
prevalence open defecation,0,0,0,3,0,0,3
enterprise digital,0,3,0,0,0,0,3
enterprise digital transformation,0,3,0,0,0,0,3
enterprise diversification,0,3,0,0,0,0,3
sequential tests,0,0,3,0,0,0,3
price formation,3,0,0,0,0,0,3
rational stagnation,0,0,0,0,0,3,3
games isoelastic,0,3,0,0,0,0,3
entry cost,3,0,0,0,0,0,3
income mobility,0,0,0,0,0,3,3
rationality assumptions,0,0,0,3,0,0,3
energy use,0,0,0,0,3,0,3
estimate eventstudy effects,0,0,0,0,0,3,3
prices returns two,0,0,0,0,3,0,3
estimate eventstudy,0,0,0,0,0,3,3
shared infrastructure systems,0,0,0,0,0,3,3
shared infrastructure,0,0,0,0,0,3,3
gdp per,3,0,0,0,0,0,3
shapley value method,0,0,0,0,3,0,3
shapley value,0,0,0,0,3,0,3
principal component analysis,0,0,3,0,0,0,3
endogenous growth,0,0,0,3,0,0,3
preferences moral,0,0,0,0,0,3,3
formation model,3,0,0,0,0,0,3
index income,0,3,0,0,0,0,3
gross domestic product gdp,0,0,0,3,0,0,3
importanceperformance analysis,0,0,3,0,0,0,3
energy food,0,0,0,0,0,3,3
independence assumptions,0,0,0,0,0,3,3
preliminary tests,0,0,0,0,0,3,3
prices returns two assets,0,0,0,0,3,0,3
services act,3,0,0,0,0,0,3
energy system,0,0,0,0,3,0,3
robust test,0,0,0,0,3,0,3
simulations empirical,3,0,0,0,0,0,3
properties income,0,0,3,0,0,0,3
results support,0,0,0,3,0,0,3
ecommerce users,0,0,3,0,0,0,3
external validity,0,3,0,0,0,0,3
economic activities,3,0,0,0,0,0,3
social behavior,0,0,0,3,0,0,3
household members,0,3,0,0,0,0,3
receives payout,0,0,0,0,0,3,3
green government,3,0,0,0,0,0,3
extension operator,0,0,0,0,0,3,3
reasoning capabilities,0,0,0,0,3,0,3
household registration system,0,3,0,0,0,0,3
simulations empirical application,3,0,0,0,0,0,3
economic complexity,0,0,3,0,0,0,3
exposure electoral violence,0,3,0,0,0,0,3
exposure electoral,0,3,0,0,0,0,3
proenvironmental behaviour,0,0,3,0,0,0,3
economic development municipalities,0,0,3,0,0,0,3
innovation index,0,0,3,0,0,0,3
returns science,0,0,0,3,0,0,3
productivity loss,0,0,0,3,0,0,3
productivity beliefs,0,0,0,0,0,3,3
factor analysis,0,0,3,0,0,0,3
social cost,0,0,0,3,0,0,3
social cost carbon,0,0,0,3,0,0,3
easy use,3,0,0,0,0,0,3
response functions,0,0,0,0,3,0,3
social optimum,0,0,3,0,0,0,3
propensity score,3,0,0,0,0,0,3
public health policies,0,3,0,0,0,0,3
response times,0,0,0,0,0,3,3
dynamic regression,0,0,0,0,3,0,3
dynamic regression model,0,0,0,0,3,0,3
falsification tests,0,0,0,3,0,0,3
hours worked,0,3,0,0,0,0,3
quo welfare,0,0,0,0,3,0,3
social media industry,0,0,0,0,3,0,3
dynamic triple,0,0,0,3,0,0,3
dynamic triple gamma,0,0,0,3,0,0,3
gini index income,0,3,0,0,0,0,3
social inefficiency,0,0,0,0,3,0,3
social economic development municipalities,0,0,3,0,0,0,3
recent years,0,0,0,3,0,0,3
profit distribution,0,0,0,0,3,0,3
factor estimation,0,0,0,0,3,0,3
human adaptation,3,0,0,0,0,0,3
real interest rates,0,0,0,3,0,0,3
production frontier,0,0,0,3,0,0,3
excess demand functions,0,0,0,0,0,3,3
risk due,0,0,0,3,0,0,3
road infrastructure,0,3,0,0,0,0,3
effect brand loyalty green,0,0,0,3,0,0,3
general value,0,0,0,0,0,3,3
information learning,0,0,3,0,0,0,3
size controllability,0,0,0,0,3,0,3
eventstudy effects complex designs,0,0,0,0,0,3,3
eventstudy effects complex,0,0,0,0,0,3,3
eventstudy effects,0,0,0,0,0,3,3
evaluate applicants,0,0,0,3,0,0,3
identification estimation,0,0,0,0,0,3,3
identification estimation inference,0,0,0,0,0,3,3
site selection,0,0,0,0,3,0,3
identificationrobust inference,3,0,0,0,0,0,3
identified set,3,0,0,0,0,0,3
information asymmetry,0,0,0,3,0,0,3
problem fanaticism,0,0,0,3,0,0,3
influential sets,0,0,0,0,0,3,3
problem drinking,0,3,0,0,0,0,3
excess demand,0,0,0,0,0,3,3
risk aversion,3,0,0,0,0,0,3
postspectral estimator,0,0,3,0,0,0,3
education system,0,3,0,0,0,0,3
smooth instruments,0,0,3,0,0,0,3
riesz regression automatic,0,0,0,0,0,3,3
economic mental,0,3,0,0,0,0,3
economic mental distress,0,3,0,0,0,0,3
funding levels,0,0,0,0,0,3,3
innovation actors,0,0,0,3,0,0,3
riesz regression automatic debiased,0,0,0,0,0,3,3
riesz regression automatic debiased machine,0,0,0,0,0,3,3
existential risk,0,3,0,0,0,0,3
existence connected,0,0,0,3,0,0,3
economic severity,0,3,0,0,0,0,3
riesz representer estimation,0,0,0,0,0,3,3
infrastructure investment,0,0,0,0,3,0,3
product gdp,0,0,0,3,0,0,3
exclusion restrictions,0,3,0,0,0,0,3
ecosystem services,0,0,0,3,0,0,3
risk assessment,0,3,0,0,0,0,3
education policies,0,3,0,0,0,0,3
small bandwidth asymptotics,0,0,3,0,0,0,3
preferences moral concerns,0,0,0,0,0,3,3
macroeconomic indicators,0,3,0,0,0,0,3
decisionmaking participation,0,0,0,3,0,0,3
market lemons,0,0,0,3,0,0,3
marketbased correlations prices,0,0,0,0,3,0,3
marketbased correlations,0,0,0,0,3,0,3
causal responses,0,0,0,0,0,3,3
ccc assumption,0,0,0,0,3,0,3
labor regulations,0,3,0,0,0,0,3
two empirical,0,3,0,0,0,0,3
two distinct,0,0,0,0,0,3,3
market returns,0,3,0,0,0,0,3
optimal stopping,3,0,0,0,0,0,3
central moments,0,0,0,0,0,3,3
two actions,3,0,0,0,0,0,3
tukey model,0,0,0,0,0,3,3
market expansion,0,0,0,0,3,0,3
marketbased correlations prices returns,0,0,0,0,3,0,3
optimal switching,3,0,0,0,0,0,3
optimal switching time,3,0,0,0,0,0,3
change threat,3,0,0,0,0,0,3
triopoly games,0,3,0,0,0,0,3
marginal emission factors,0,0,0,0,3,0,3
treatment variable,0,0,3,0,0,0,3
chinese automotive,0,0,0,3,0,0,3
chinese investment,0,0,3,0,0,0,3
chinese investors,0,0,3,0,0,0,3
choice data,0,3,0,0,0,0,3
optimal unrestricted,0,0,0,0,3,0,3
optimal unrestricted signals,0,0,0,0,3,0,3
two key,0,0,0,0,0,3,3
causal impact,0,0,0,0,0,3,3
mathematical thinking,0,0,0,0,0,3,3
optimal convergence,0,0,0,3,0,0,3
unique orderly representation,0,0,3,0,0,0,3
unique orderly,0,0,3,0,0,0,3
bregman divergence,0,0,0,0,0,3,3
uniform convergence results,0,3,0,0,0,0,3
open question,3,0,0,0,0,0,3
budget sets,0,0,0,0,3,0,3
building sector,0,0,0,0,3,0,3
business analytics,3,0,0,0,0,0,3
optimal bundling,0,0,3,0,0,0,3
matching estimator,0,0,0,0,0,3,3
capability testing,0,0,0,0,3,0,3
uncertainty shocks,0,0,0,0,0,3,3
optimal convergence rate,0,0,0,3,0,0,3
marketbased correlations prices returns two,0,0,0,0,3,0,3
ultimatum game,0,0,0,0,0,3,3
ugc platforms,0,0,0,0,3,0,3
markov switching dynamic regression model,0,0,0,0,3,0,3
markov switching dynamic regression,0,0,0,0,3,0,3
types principal,0,0,0,0,0,3,3
markov switching dynamic,0,0,0,0,3,0,3
markov switching,0,0,0,0,3,0,3
optimal mechanism,0,0,0,0,0,3,3
case studies,0,0,3,0,0,0,3
twoway ccc,0,0,0,0,3,0,3
twosided departures,0,0,0,3,0,0,3
marketing communication,0,0,3,0,0,0,3
choice models,0,0,3,0,0,0,3
choice satisfaction,0,0,0,0,3,0,3
choice set,0,0,0,0,3,0,3
top trading,0,0,3,0,0,0,3
overtime hours worked,0,3,0,0,0,0,3
computational requirements,0,0,0,0,3,0,3
ownership usage,0,0,0,3,0,0,3
lung cancer,0,0,0,3,0,0,3
total engagement,0,0,0,3,0,0,3
topological space,0,0,3,0,0,0,3
conditional average,0,0,0,0,0,3,3
conditional average treatment,0,0,0,0,0,3,3
conditional average treatment effect,0,0,0,0,0,3,3
top trading cycles ttc,0,0,3,0,0,0,3
top trading cycles,0,0,3,0,0,0,3
conditional influence functions,0,0,0,0,3,0,3
top income share,0,3,0,0,0,0,3
optimization problem,0,0,0,3,0,0,3
top income,0,3,0,0,0,0,3
conditioning events,0,0,3,0,0,0,3
confidence sequences,0,0,3,0,0,0,3
connected separable,0,0,3,0,0,0,3
toilet ownership usage,0,0,0,3,0,0,3
toilet ownership,0,0,0,3,0,0,3
connected stronglyproportional allocation,0,0,0,3,0,0,3
conscious behaviour,0,0,3,0,0,0,3
time slot,0,0,3,0,0,0,3
loughranmcdonald dictionary model,0,0,0,0,3,0,3
consumer acceptance,0,0,3,0,0,0,3
consumer participation,0,0,0,3,0,0,3
toxic liquidation,0,0,3,0,0,0,3
component analysis,0,0,3,0,0,0,3
complexity amenity complexity,0,0,3,0,0,0,3
complexity amenity,0,0,3,0,0,0,3
order tests,0,3,0,0,0,0,3
travelling children,0,0,3,0,0,0,3
orderly representation,0,0,3,0,0,0,3
transportation network,0,3,0,0,0,0,3
transport costs,3,0,0,0,0,0,3
transparent models,0,0,0,0,0,3,3
clear rules,0,0,0,3,0,0,3
climate change threat,3,0,0,0,0,0,3
closed loop,0,0,0,0,0,3,3
organizational culture,0,0,0,0,3,0,3
male adults,0,0,3,0,0,0,3
coastal regions,0,0,0,3,0,0,3
cognitive diversity,0,0,0,3,0,0,3
outcome matching,0,0,3,0,0,0,3
common factors,0,0,0,0,0,3,3
traffic bans,3,0,0,0,0,0,3
traditional pythagorean model,0,3,0,0,0,0,3
traditional pythagorean,0,3,0,0,0,0,3
outside options,0,0,0,0,0,3,3
macroeconomic forecasting,0,0,0,0,0,3,3
completing school,0,3,0,0,0,0,3
complex contagion,0,0,0,0,3,0,3
trading cycles ttc,0,0,3,0,0,0,3
trading cycles,0,0,3,0,0,0,3
complex designs,0,0,0,0,0,3,3
mathematical puzzles,0,0,0,0,0,3,3
maximally contextually,0,3,0,0,0,0,3
text mining,0,0,0,0,3,0,3
weakly strategyproof,0,0,0,0,3,0,3
aggregate excess demand functions,0,0,0,0,0,3,3
aggregate shocks,0,3,0,0,0,0,3
air traffic,0,3,0,0,0,0,3
moral hazard,0,3,0,0,0,0,3
airspace users,0,3,0,0,0,0,3
weather data,3,0,0,0,0,0,3
algebraic connectivity,0,0,0,0,0,3,3
wealthier users,0,0,0,3,0,0,3
new distance,0,3,0,0,0,0,3
wealth distributions,0,0,0,0,3,0,3
new infrastructure,0,0,0,0,3,0,3
new infrastructure investment,0,0,0,0,3,0,3
monetary incentives,0,0,0,3,0,0,3
aggregate excess,0,0,0,0,0,3,3
weak strategyproofness,0,0,0,0,3,0,3
weak identification,3,0,0,0,0,0,3
new test,3,0,0,0,0,0,3
wage growth,0,0,0,0,0,3,3
models including,0,0,0,3,0,0,3
models aggregate shocks,0,3,0,0,0,0,3
models aggregate,0,3,0,0,0,0,3
viral spread,0,0,3,0,0,0,3
violence kenya,0,3,0,0,0,0,3
model selection,0,3,0,0,0,0,3
apply method,0,3,0,0,0,0,3
variables household registration,0,3,0,0,0,0,3
aggregate excess demand,0,0,0,0,0,3,3
agents wealth,0,0,0,0,3,0,3
maximally contextually private,0,3,0,0,0,0,3
adaptive transit,0,3,0,0,0,0,3
abc scoring,0,0,0,3,0,0,3
abc scoring rules,0,0,0,3,0,0,3
abc voting,0,0,0,3,0,0,3
abc voting rules,0,0,0,3,0,0,3
nature communication,0,0,0,3,0,0,3
acceptable level,0,0,0,0,0,3,3
accession brics,0,0,0,0,3,0,3
negative social,3,0,0,0,0,0,3
negative social recognition,3,0,0,0,0,0,3
mutual aid,0,0,3,0,0,0,3
neighborhood complexity,0,0,3,0,0,0,3
neighborhood complexity amenity,0,0,3,0,0,0,3
neighborhood complexity amenity complexity,0,0,3,0,0,0,3
agents trust humans,0,0,3,0,0,0,3
nested models,0,0,0,3,0,0,3
nested npiv,0,3,0,0,0,0,3
advanced disease,0,0,0,3,0,0,3
adversarial corruption,0,0,0,3,0,0,3
adverted civilian,0,3,0,0,0,0,3
adverted civilian casualties,0,3,0,0,0,0,3
network analysis,0,0,0,3,0,0,3
network contagion,0,0,0,0,0,3,3
network formation,3,0,0,0,0,0,3
agent models aggregate,0,3,0,0,0,0,3
agent models aggregate shocks,0,3,0,0,0,0,3
agent receives,0,0,0,3,0,0,3
variables household,0,3,0,0,0,0,3
variable transformation methods,0,0,0,0,3,0,3
variable transformation,0,0,0,0,3,0,3
user innovation,0,0,0,0,3,0,3
average causal responses,0,0,0,0,0,3,3
using panel,3,0,0,0,0,0,3
bad debt,0,0,3,0,0,0,3
balance sheet,0,0,0,3,0,0,3
balancing weights,0,0,0,0,0,3,3
bandwidth asymptotics,0,0,3,0,0,0,3
using models,3,0,0,0,0,0,3
barrier functions,0,0,0,3,0,0,3
base layer,0,0,3,0,0,0,3
method moments,3,0,0,0,0,0,3
users preferences,0,0,3,0,0,0,3
users creators,0,0,0,3,0,0,3
medical services,0,0,0,0,0,3,3
nplayers game,0,0,0,0,0,3,3
medicaid expansion,3,0,0,0,0,0,3
media industry,0,0,0,0,3,0,3
use fdi,0,0,0,0,3,0,3
measurable utility,0,0,3,0,0,0,3
urban wage,0,0,0,0,0,3,3
urban suburban,0,0,0,0,3,0,3
bert finbert,0,0,0,0,3,0,3
online crowdprediction,0,0,0,3,0,0,3
online crowdprediction platforms,0,0,0,3,0,0,3
maximum pressure,0,0,0,0,3,0,3
maximum likelihood estimator,0,0,0,0,3,0,3
unrestricted signals,0,0,0,0,3,0,3
average causal,0,0,0,0,0,3,3
autoregressive models,0,0,0,0,0,3,3
minimalist market,0,0,0,3,0,0,3
minimalist market design,0,0,0,3,0,0,3
artificial intelligence online,0,0,3,0,0,0,3
artificial intelligence systems,0,0,0,0,0,3,3
moate simulation,0,0,3,0,0,0,3
variable estimated value,0,0,3,0,0,0,3
variable estimated,0,0,3,0,0,0,3
number overtime,0,3,0,0,0,0,3
number overtime hours,0,3,0,0,0,0,3
number overtime hours worked,0,3,0,0,0,0,3
value method,0,0,0,0,3,0,3
asymptotically normal,0,0,0,0,0,3,3
number people,3,0,0,0,0,0,3
value creation,0,0,0,0,3,0,3
number people passing,3,0,0,0,0,0,3
minimum wage,0,3,0,0,0,0,3
value aigenerated metadata,0,0,0,0,3,0,3
value aigenerated,0,0,0,0,3,0,3
numerical simulations,0,0,3,0,0,0,3
vaccination rates,0,0,0,0,3,0,3
utterancebased reasoning,0,0,0,3,0,0,3
utility model,0,0,0,0,3,0,3
automatic debiased,0,0,0,0,0,3,3
automatic debiased machine,0,0,0,0,0,3,3
automatic debiased machine learning,0,0,0,0,0,3,3
minimaxregret optimal,0,0,0,3,0,0,3
autonomous choice,0,3,0,0,0,0,3
consumer search,3,0,0,0,0,0,3
grading practices,0,0,3,0,0,0,3
long term discount rate,0,0,0,3,0,0,3
correlations prices returns two,0,0,0,0,3,0,3
corporate environmental performance,0,0,0,0,0,3,3
taxable income,0,0,0,0,3,0,3
subsaharan africa,0,3,0,0,0,0,3
corporate tax,0,0,0,3,0,0,3
tax revenues,0,3,0,0,0,0,3
correlations prices returns,0,0,0,0,3,0,3
correlations prices returns two assets,0,0,0,0,3,0,3
targeted advertising,0,0,0,0,0,3,3
cost carbon,0,0,0,3,0,0,3
liquid democracy,0,0,3,0,0,0,3
cost types,0,0,0,0,0,3,3
task characteristics,0,0,0,0,0,3,3
costs market,0,3,0,0,0,0,3
linear models,0,0,3,0,0,0,3
teachers gender,0,0,3,0,0,0,3
subjective wellbeing,3,0,0,0,0,0,3
latency arbitrage,0,3,0,0,0,0,3
lassoed boosting,0,3,0,0,0,0,3
performance rating,0,0,0,3,0,0,3
performance variable,0,0,3,0,0,0,3
copula central,0,0,0,0,3,0,3
technologies energy,0,0,0,3,0,0,3
large language models llms,0,0,0,0,3,0,3
large class,0,3,0,0,0,0,3
llm choices,0,0,0,0,0,3,3
language models llms,0,0,0,0,3,0,3
convex environments,0,0,3,0,0,0,3
temporal properties,0,0,3,0,0,0,3
convergence results,0,3,0,0,0,0,3
convergence rates,3,0,0,0,0,0,3
temporal properties income,0,0,3,0,0,0,3
linear model,0,0,3,0,0,0,3
target variable transformation methods,0,0,0,0,3,0,3
local dominance,3,0,0,0,0,0,3
cpi inflation,0,0,0,3,0,0,3
path craftsman spirit higher,0,0,3,0,0,0,3
cultivation path craftsman spirit,0,0,3,0,0,0,3
cultivation path craftsman,0,0,3,0,0,0,3
path craftsman spirit higher vocational,0,0,3,0,0,0,3
cultivation path,0,0,3,0,0,0,3
crowdprediction platforms,0,0,0,3,0,0,3
craftsman spirit,0,0,3,0,0,0,3
target variable transformation,0,0,0,0,3,0,3
craftsman spirit higher,0,0,3,0,0,0,3
craftsman spirit higher vocational,0,0,3,0,0,0,3
craftsman spirit higher vocational education,0,0,3,0,0,0,3
sustainable energy,0,0,3,0,0,0,3
criminal justice system,0,0,3,0,0,0,3
criminal justice,0,0,3,0,0,0,3
cultivation path craftsman spirit higher,0,0,3,0,0,0,3
switching dynamic,0,0,0,0,3,0,3
people passing,3,0,0,0,0,0,3
switching dynamic regression,0,0,0,0,3,0,3
covariate shifts,0,3,0,0,0,0,3
switching dynamic regression model,0,0,0,0,3,0,3
switching time,3,0,0,0,0,0,3
cultural diversity,0,3,0,0,0,0,3
synthetic control differencing,0,0,0,0,0,3,3
cultural properties,0,0,3,0,0,0,3
path craftsman spirit,0,0,3,0,0,0,3
path craftsman,0,0,3,0,0,0,3
cycles ttc,0,0,3,0,0,0,3
dangerous capability testing,0,0,0,0,3,0,3
learning channel,3,0,0,0,0,0,3
likelihood estimator,0,0,0,0,3,0,3
participation csa,0,0,0,3,0,0,3
local average treatment effect,0,0,3,0,0,0,3
data collected,0,0,0,3,0,0,3
control function,0,3,0,0,0,0,3
control treatment,3,0,0,0,0,0,3
test mediation,3,0,0,0,0,0,3
local stability,0,3,0,0,0,0,3
decision framework,0,3,0,0,0,0,3
term discount rate,0,0,0,3,0,0,3
term discount,0,0,0,3,0,0,3
local investor,3,0,0,0,0,0,3
long term discount,0,0,0,3,0,0,3
parallel trend,0,0,0,0,0,3,3
decision maker,0,0,0,3,0,0,3
decision rules,0,0,0,3,0,0,3
control function approach,0,3,0,0,0,0,3
control differencing,0,0,0,0,0,3,3
decision theory,0,0,0,3,0,0,3
control barrier functions,0,0,0,3,0,0,3
local investor sentiments,3,0,0,0,0,0,3
control treatment effect,3,0,0,0,0,0,3
control barrier,0,0,0,3,0,0,3
per area,0,0,0,0,2,0,2
policy civilian,0,2,0,0,0,0,2
propose estimators,0,2,0,0,0,0,2
propose alternative approach,0,0,2,0,0,0,2
rail freight industry,0,0,0,0,2,0,2
proportional share,0,0,0,2,0,0,2
pharmaceutical research development,0,0,2,0,0,0,2
number time periods,0,0,2,0,0,0,2
nutrient adequacy,0,0,0,2,0,0,2
obamas policy civilian,0,2,0,0,0,0,2
obamas policy civilian casualties,0,2,0,0,0,0,2
policy civilian casualties,0,2,0,0,0,0,2
policy design,0,0,0,0,0,2,2
policy evaluation,0,0,0,0,0,2,2
people societies,2,0,0,0,0,0,2
objective satisfies,0,0,2,0,0,0,2
necessary sufficient conditions,0,0,2,0,0,0,2
negative social recognition results,2,0,0,0,0,0,2
radio access,0,0,0,0,2,0,2
phase diagram,0,0,0,0,2,0,2
propose alternative,0,0,2,0,0,0,2
people passing exam,2,0,0,0,0,0,2
negative controls,2,0,0,0,0,0,2
policy effect heterogeneity,0,0,2,0,0,0,2
radio access networks,0,0,0,0,2,0,2
permit price,0,0,0,2,0,0,2
number people passing exam,2,0,0,0,0,0,2
number time,0,0,2,0,0,0,2
proposed estimation,0,2,0,0,0,0,2
pointwise uniform,0,0,0,0,2,0,2
plugin estimators,0,0,0,0,0,2,2
nuclear waste management,0,0,0,0,2,0,2
quo proposed policy,0,0,0,0,2,0,2
plugin approach,0,0,0,0,0,2,2
personalized policy,0,0,2,0,0,0,2
quo proposed,0,0,0,0,2,0,2
number children deported,0,0,2,0,0,0,2
percent used,0,0,0,2,0,0,2
percentage model,0,2,0,0,0,0,2
proposed framework,0,0,2,0,0,0,2
players quadratic costs market supposed,0,2,0,0,0,0,2
players quadratic costs market,0,2,0,0,0,0,2
novelty seeking,0,2,0,0,0,0,2
nuisance parameters misspecified,0,2,0,0,0,0,2
number crossings,0,0,2,0,0,0,2
number show,0,0,0,0,0,2,2
per dollar,0,0,0,2,0,0,2
number queries,0,0,0,2,0,0,2
necessary sufficient condition size,0,0,0,0,2,0,2
propose estimators bounds,0,2,0,0,0,0,2
propose framework,2,0,0,0,0,0,2
pol casel,0,0,0,2,0,0,2
per capita growth,2,0,0,0,0,0,2
per person,0,0,0,2,0,0,2
number equilibria,0,0,0,0,0,2,2
poissonpareto behavior,0,0,0,2,0,0,2
pointwise uniform risk convergence,0,0,0,0,2,0,2
pointwise uniform risk,0,0,0,0,2,0,2
propose two,0,2,0,0,0,0,2
perceived benefits,0,2,0,0,0,0,2
number observations,0,0,2,0,0,0,2
necessary sufficient condition size controllability,0,0,0,0,2,0,2
observations across,0,0,0,0,0,2,2
observable performance,0,0,0,0,2,0,2
penalized empirical,0,0,0,0,2,0,2
professional players,2,0,0,0,0,0,2
profiles tend,0,0,0,2,0,0,2
policy shock,0,0,0,0,2,0,2
policy rules,2,0,0,0,0,0,2
profit allocation,0,0,0,0,2,0,2
oecd countries iran using,0,0,0,2,0,0,2
oecd countries iran,0,0,0,2,0,0,2
offer zero,0,0,2,0,0,0,2
policy rule,0,0,0,0,0,2,2
oecd countries,0,0,0,2,0,0,2
policy learning abstention policy,0,0,0,0,0,2,2
programs affect,0,2,0,0,0,0,2
personalized pricing promotions,0,0,0,2,0,0,2
penalized empirical likelihood,0,0,0,0,2,0,2
payout fund,0,0,0,0,0,2,2
offers new,0,0,0,0,0,2,2
rail intermodal freight,0,0,0,0,2,0,2
policy transform,2,0,0,0,0,0,2
policy vote,0,0,0,0,2,0,2
raising bidders,0,0,0,0,2,0,2
policy uncertainty,0,0,0,0,0,2,2
oligopoly games,0,2,0,0,0,0,2
products significant,0,0,0,2,0,0,2
products significant positive,0,0,0,2,0,0,2
oil prices,0,0,0,2,0,0,2
offers ultimatum,0,0,0,0,0,2,2
products significant positive effect,0,0,0,2,0,0,2
offgrid renewable energy systems,0,0,2,0,0,0,2
offgrid renewable energy,0,0,2,0,0,0,2
payoffrelevant state,0,0,0,0,2,0,2
offgrid renewable,0,0,2,0,0,0,2
offers ultimatum game,0,0,0,0,0,2,2
penalty payment,0,0,2,0,0,0,2
odds beating spread,0,0,0,0,2,0,2
pharmaceutical research,0,0,2,0,0,0,2
proportion winning,0,0,0,2,0,0,2
property value,2,0,0,0,0,0,2
property value catonsville,2,0,0,0,0,0,2
penetration increases,2,0,0,0,0,0,2
property value catonsville maryland,2,0,0,0,0,0,2
property value catonsville maryland comparison,2,0,0,0,0,0,2
proportion exploitative,0,0,0,2,0,0,2
proportion winning coalitions,0,0,0,2,0,0,2
properties proposed,0,0,2,0,0,0,2
obtained deferred,0,0,2,0,0,0,2
observing sample,2,0,0,0,0,0,2
normalform games,0,0,0,2,0,0,2
observational methods,0,2,0,0,0,0,2
nearly similar,2,0,0,0,0,0,2
observational learning,0,0,2,0,0,0,2
property taxes,0,0,0,0,2,0,2
nearly number,0,0,2,0,0,0,2
odds beating,0,0,0,0,2,0,2
obtained top trading,0,0,2,0,0,0,2
obtained top trading cycles ttc,0,0,2,0,0,0,2
project findings,0,0,0,2,0,0,2
promising results,0,0,0,2,0,0,2
promotion significant,0,0,0,2,0,0,2
obtained top trading cycles,0,0,2,0,0,0,2
personalized pricing promotions product,0,0,0,2,0,0,2
promotion significant positive,0,0,0,2,0,0,2
obtained deferred acceptance,0,0,2,0,0,0,2
promotion significant positive effect,0,0,0,2,0,0,2
promotions product,0,0,0,2,0,0,2
rail freight volumes,0,0,0,0,2,0,2
personalized pricing,0,0,0,2,0,0,2
obtained top,0,0,2,0,0,0,2
policy learning abstention,0,0,0,0,0,2,2
nova scotia,0,0,2,0,0,0,2
questionnaire survey,0,0,2,0,0,0,2
proposed methodology,0,0,2,0,0,0,2
purchasing power parity exchange,0,0,0,0,0,2,2
public safety power shutoffs,0,0,0,0,2,0,2
public safety power shutoffs psps,0,0,0,0,2,0,2
new distance function,0,2,0,0,0,0,2
quantile factor,0,0,2,0,0,0,2
performance mediated,0,0,0,2,0,0,2
purchasing power parity,0,0,0,0,0,2,2
quality may,0,2,0,0,0,0,2
public safety,0,0,0,0,2,0,2
