,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
finite abelian group,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,7,10,13,21,19,22,19,31,23,32,30,35,35,36,45,41,35,37,37,31,60,46,676
paper consider problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,13,10,12,19,39,40,37,33,41,43,50,56,68,62,53,21,26,38,676
several numerical experiments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,7,5,9,20,31,38,39,47,67,67,70,70,98,93,674
interacting particle systems,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,6,13,4,9,18,8,19,25,17,19,28,21,32,38,60,51,54,73,97,70,672
approximate message passing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,11,23,36,56,39,44,27,47,60,56,65,68,75,44,671
orthogonal frequency division,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,3,9,17,28,42,33,45,48,55,49,39,49,41,57,48,48,37,667
iterated function systems,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,10,19,15,15,18,13,18,23,32,24,28,40,32,34,42,33,48,52,50,46,58,665
stochastic heat equation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,8,17,17,23,23,21,29,40,41,29,49,42,56,41,43,47,66,59,665
wireless communication systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10,16,18,28,39,34,32,28,48,40,66,55,81,79,73,662
deep reinforcement learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,74,102,104,93,87,83,78,662
compressible euler equations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,14,9,18,11,33,16,27,27,48,51,61,55,75,63,69,64,657
kernel hilbert space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,13,9,7,9,21,25,19,18,30,43,35,68,69,54,72,75,70,653
sufficient condition existence,0,0,0,0,0,0,0,0,0,3,0,0,0,8,8,10,7,9,12,5,19,23,28,21,33,34,37,36,29,41,29,44,45,43,38,52,39,653
linear differential equations,0,0,0,3,0,0,0,0,4,0,7,6,0,6,9,3,13,13,20,18,19,23,9,30,38,20,35,43,25,44,56,36,20,32,43,43,34,652
smooth projective variety,0,0,0,0,0,0,6,5,5,5,6,10,4,6,11,8,13,18,11,13,15,29,17,21,14,31,31,42,35,29,31,43,32,43,40,35,42,651
paper devoted study,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,6,7,15,3,16,25,21,25,28,38,37,35,33,32,36,54,42,35,29,29,50,44,650
finitely generated group,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,20,13,13,12,13,14,22,33,26,24,27,22,42,42,31,41,43,36,39,39,40,42,649
discontinuous galerkin methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,26,14,25,29,46,39,45,59,75,48,64,36,68,61,647
give complete description,0,0,0,0,0,0,0,0,0,0,4,0,0,14,5,14,11,15,20,15,17,17,33,44,19,21,35,46,37,35,35,42,30,38,32,35,32,646
compact metric space,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,7,14,3,20,23,16,22,32,21,35,40,38,40,32,41,44,44,39,29,33,52,643
initial boundary value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,9,9,25,12,28,34,36,38,39,37,35,58,50,34,64,54,62,643
method multipliers admm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,17,40,35,46,53,41,77,55,50,42,57,49,62,634
frequency division multiplexing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4,0,7,13,20,36,23,49,45,42,48,32,38,37,59,48,63,50,631
galerkin finite element,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,25,37,26,44,41,32,67,45,76,26,48,54,56,40,630
effectiveness proposed method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,11,16,21,17,24,35,43,50,46,54,76,97,124,623
complex projective space,0,0,0,0,0,0,5,0,0,4,12,7,8,8,22,10,13,23,16,29,8,22,41,39,25,32,32,30,35,27,17,22,22,35,34,15,30,623
nonconvex optimization problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,11,16,20,17,31,41,49,59,67,64,56,58,58,56,622
kortewegde vries equation,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,0,6,13,7,17,36,15,15,25,31,20,25,38,40,32,40,41,47,31,38,55,34,621
main purpose paper,0,0,0,0,0,0,0,3,0,0,0,3,3,8,8,10,9,8,12,13,14,15,19,24,23,28,31,35,42,46,27,45,50,46,33,34,31,620
give upper bound,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,3,4,10,14,9,19,20,27,20,25,26,33,35,41,37,35,54,32,34,40,46,31,614
paper introduce notion,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,13,11,10,7,18,13,21,22,26,28,29,42,40,40,60,44,45,39,55,44,614
almost sure convergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,9,14,11,22,31,18,21,31,20,27,33,40,54,44,58,47,43,68,614
intelligent reflecting surface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66,169,137,100,69,41,23,611
differential equations paper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,12,5,9,17,11,13,28,33,24,28,47,35,30,50,48,32,36,36,51,53,610
lower bound number,0,0,0,0,0,0,0,0,0,3,4,0,4,5,0,8,7,8,9,12,10,20,25,16,23,26,36,30,30,39,30,42,36,28,59,57,40,607
graph vertex set,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,12,17,19,16,18,24,28,19,43,23,44,40,55,55,60,59,63,604
fractional differential equations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,4,5,4,20,15,48,42,54,55,66,57,41,37,43,37,57,601
multiple access channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,11,25,22,22,48,37,24,47,27,35,37,38,39,26,22,29,30,32,18,597
topological quantum field,0,0,0,3,7,5,15,11,8,3,9,5,3,13,11,8,18,11,9,15,18,20,20,16,9,25,14,26,34,30,14,24,21,46,39,43,43,596
main result shows,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,3,3,7,12,15,13,11,15,17,32,16,32,26,35,37,47,37,41,49,55,80,596
two three dimensions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,6,13,8,11,16,17,25,37,14,23,31,25,35,38,43,47,59,67,67,594
machine learning models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,17,34,67,62,69,90,126,112,594
one space dimension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,4,10,20,19,17,31,22,45,37,39,36,31,43,41,33,37,34,41,27,593
bounded linear operators,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,5,5,5,9,6,14,10,10,23,26,25,19,26,30,58,37,52,41,42,42,50,45,592
branching random walk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,15,11,17,22,18,24,25,27,59,46,25,46,37,27,32,36,30,46,34,589
numerical experiments presented,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,7,7,13,17,29,14,28,50,51,58,62,52,52,50,83,588
compact quantum groups,0,0,0,0,0,6,0,0,0,23,5,13,13,17,0,9,8,20,17,23,24,23,22,31,27,28,35,36,51,22,20,15,20,15,27,17,18,585
prove global existence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,6,7,14,14,23,20,29,12,23,30,31,39,40,36,36,47,29,46,42,50,584
solutions navierstokes equations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17,27,18,19,16,21,22,21,11,20,31,38,48,35,32,30,33,44,45,39,584
hyperbolic conservation laws,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,13,12,5,8,3,9,19,25,20,40,18,39,29,40,40,38,56,81,75,583
establish existence uniqueness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,8,7,14,6,11,19,21,16,26,16,29,27,38,35,43,49,73,133,582
kernel hilbert spaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,9,5,6,14,21,25,24,21,28,36,34,43,53,53,29,46,49,72,582
leavitt path algebras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,16,9,13,39,29,21,32,51,30,57,59,30,39,39,35,26,34,580
separable hilbert space,0,0,0,0,0,0,0,0,3,0,4,7,5,5,3,8,4,13,14,18,12,13,22,21,26,31,25,20,36,42,33,35,31,25,41,37,43,577
simple exclusion process,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,4,14,12,15,16,19,23,11,22,12,25,30,36,29,24,38,36,35,30,41,55,35,576
finite simple groups,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,6,9,10,11,23,23,24,16,33,30,26,39,35,51,30,36,27,23,38,38,37,576
shallow water equations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,11,17,11,30,21,30,20,34,48,39,61,48,66,58,66,574
integrated sensing communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,92,114,170,174,574
plays crucial role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,6,5,4,10,27,21,21,11,19,14,24,23,28,33,29,41,51,97,95,574
introduce new class,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,15,14,8,13,8,18,25,14,29,30,26,30,31,29,46,43,40,44,48,51,572
heegaard floer homology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,15,16,10,30,26,36,22,46,31,34,35,23,15,32,19,29,27,24,29,16,31,571
let finite group,0,0,0,0,0,0,0,0,0,0,6,0,0,3,5,5,7,11,20,11,12,8,19,15,28,21,26,22,31,35,41,51,34,35,24,43,57,570
cellfree massive mimo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,26,49,40,111,89,63,100,67,569
paper prove existence,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,10,8,11,9,19,17,18,22,32,33,38,41,43,44,36,42,29,38,32,30,568
field positive characteristic,0,0,0,0,0,0,0,0,0,6,0,6,3,7,9,7,15,17,15,11,28,23,17,21,27,30,27,24,40,20,26,29,28,22,37,34,38,567
operators hilbert space,0,0,0,0,0,0,0,0,0,0,3,4,0,7,8,11,10,5,15,17,20,12,15,31,29,31,33,28,36,30,37,31,36,24,22,34,37,566
incompressible euler equations,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,8,10,6,0,13,17,24,36,30,25,21,19,22,33,39,49,42,58,47,56,564
numerical examples presented,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,14,16,22,24,37,33,26,42,55,53,55,61,52,54,564
finite element approximation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,14,16,23,18,29,39,39,32,41,51,41,39,54,49,57,560
numerical experiments illustrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,16,16,24,22,29,34,30,42,62,56,58,71,84,558
numerical experiments confirm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,10,6,12,22,19,16,36,23,25,34,42,46,58,54,140,554
asymptotic behavior solutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,10,7,10,20,20,26,20,27,26,16,27,43,38,43,42,35,29,49,47,550
solutions cauchy problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,12,13,10,16,30,35,23,30,31,38,24,22,40,32,32,39,37,34,36,550
monte carlo method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,7,7,11,14,19,19,28,22,35,45,49,38,35,47,59,46,52,549
compact kahler manifold,0,0,0,0,0,0,0,3,3,0,5,6,9,0,10,5,4,16,14,9,13,15,22,25,33,20,19,25,27,36,22,41,33,26,38,25,44,548
nonlinear dynamical systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,5,6,9,12,17,23,22,34,37,35,51,39,48,50,72,75,546
second order elliptic,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,8,9,17,11,20,21,29,34,32,36,36,40,45,30,46,38,24,26,14,15,544
finitely generated groups,0,0,0,0,0,0,0,0,0,3,0,4,3,5,3,10,13,21,14,8,21,24,23,17,28,25,20,32,27,23,32,40,27,40,31,27,23,544
mean field game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,19,25,25,60,38,51,66,55,55,66,59,542
monte carlo methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,5,5,6,12,16,29,19,20,22,32,34,28,29,37,24,39,47,70,54,542
compact riemann surface,0,0,0,0,0,0,4,4,7,6,6,0,12,4,14,3,10,10,13,11,15,21,17,14,25,15,16,35,23,28,33,29,33,36,17,39,42,542
gradient descent sgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,17,37,50,73,63,53,75,77,67,539
obtain necessary sufficient,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,8,8,12,9,11,11,14,25,20,24,35,30,34,36,28,36,46,41,34,35,30,539
finite abelian groups,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,9,11,13,15,14,13,8,20,27,23,33,37,35,32,26,31,34,35,38,68,533
weighted sobolev spaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,7,9,25,19,14,27,32,43,26,22,41,33,37,30,29,40,45,38,531
give simple proof,0,0,0,0,0,0,0,0,0,7,3,12,6,6,10,6,15,19,17,19,18,28,29,22,28,27,25,25,24,32,32,20,30,25,15,16,14,530
traveling wave solutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,15,14,21,41,21,22,25,33,24,29,46,28,25,51,54,55,530
porous medium equation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,12,7,12,28,33,30,38,32,43,41,33,39,41,44,42,41,530
second order differential,0,0,0,0,0,0,4,0,0,0,4,12,4,11,6,13,14,7,25,13,16,18,20,34,18,19,29,29,36,32,28,34,20,20,25,24,14,529
maximum degree delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,8,17,13,27,26,20,19,21,23,37,24,49,46,42,43,57,40,529
predictive control mpc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,11,17,10,31,44,58,60,60,64,68,91,528
main results paper,0,0,0,0,0,0,0,0,3,0,3,0,3,0,4,6,12,10,10,14,17,21,25,19,24,28,33,39,25,20,24,35,32,37,32,27,22,525
distributionally robust optimization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,15,24,37,38,59,70,75,76,116,524
nonnegative ricci curvature,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,5,8,7,6,11,6,12,11,22,28,16,9,17,30,22,31,34,35,33,41,62,65,524
long time behavior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,6,13,7,14,13,8,23,22,29,34,27,29,46,45,36,32,37,29,28,27,521
nonarchimedean local field,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,6,5,7,8,5,21,10,16,22,15,25,31,37,23,24,34,23,32,44,30,44,47,521
every positive integer,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,5,8,15,7,16,14,24,20,29,27,20,17,24,38,53,41,33,35,36,45,521
main goal paper,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,7,5,10,16,17,22,11,19,13,31,28,23,42,27,24,38,28,29,37,48,28,520
also give new,0,0,0,0,3,5,0,0,0,3,3,3,7,5,7,12,5,10,11,19,15,19,28,22,23,25,30,33,24,25,27,31,20,31,23,23,26,518
present numerical results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,10,6,13,5,9,16,27,28,36,25,37,44,31,49,32,46,49,43,517
finite difference method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,16,10,17,9,17,22,21,32,32,44,65,46,45,63,64,517
small initial data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,8,12,10,16,19,26,26,25,25,22,42,39,37,30,33,36,37,53,517
distributed random variables,0,0,0,0,0,0,0,0,0,4,4,0,0,0,5,7,5,11,10,11,9,16,26,22,28,34,35,24,24,26,25,30,49,23,29,26,32,515
give lower bound,0,0,0,0,0,0,0,0,0,0,5,3,3,4,3,8,12,12,11,11,22,13,11,24,33,27,24,19,34,35,30,30,23,26,33,24,35,515
smooth projective curve,0,0,0,0,0,0,0,0,5,0,4,4,3,8,18,13,8,15,16,16,18,16,16,18,23,16,18,27,18,22,24,25,28,36,24,32,42,513
iid random variables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,9,14,19,13,13,15,28,32,27,29,31,33,27,26,34,33,24,21,27,20,19,513
affine lie algebras,0,0,0,0,11,3,6,10,12,3,11,10,13,19,11,14,14,14,17,15,22,20,14,16,14,19,20,11,16,27,12,20,27,16,28,19,28,512
previously known results,0,0,0,0,0,0,0,0,0,0,4,0,4,4,3,5,10,9,12,6,7,18,14,22,26,26,17,18,29,35,29,26,32,38,25,42,51,512
polynomial time algorithm,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,4,8,8,9,9,10,19,18,13,30,35,35,28,29,36,47,31,32,39,31,26,511
differential equation pde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,10,9,12,21,27,22,38,29,41,49,38,58,70,64,506
successive convex approximation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,20,15,46,45,58,49,59,61,71,64,506
first main result,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,4,9,9,10,12,13,16,20,23,18,22,29,38,35,44,43,34,51,65,506
minimum degree least,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,24,16,16,28,35,19,28,27,32,37,39,29,40,42,71,505
multilevel monte carlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,19,23,44,40,34,35,55,43,32,29,50,31,41,504
first step towards,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,7,5,13,12,11,16,13,22,20,24,25,27,36,23,32,48,40,42,42,34,504
dynamic mode decomposition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,11,20,47,21,36,45,75,46,54,69,64,502
proper orthogonal decomposition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,13,6,16,22,17,35,43,45,57,64,61,56,53,502
existence infinitely many,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,8,13,7,4,13,8,13,23,34,36,31,27,35,31,35,18,33,37,34,49,502
physical layer security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,5,28,13,21,37,40,49,40,57,37,41,33,45,41,501
smooth bounded domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,10,8,9,26,16,26,26,30,35,43,36,43,32,35,34,39,37,499
amer math soc,0,0,0,0,0,0,0,0,0,0,4,0,5,5,5,9,6,8,8,4,11,18,17,27,16,23,19,18,17,25,19,41,34,39,34,43,43,498
delay differential equations,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,6,13,7,25,17,14,15,32,30,34,39,40,37,35,41,55,48,498
nilpotent lie groups,0,0,0,0,0,0,0,0,0,3,0,4,5,4,4,3,0,0,0,14,29,10,9,27,31,27,28,29,18,44,25,29,22,22,30,40,41,498
parabolic partial differential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,6,7,10,14,18,15,25,17,28,37,38,28,39,34,35,44,43,47,497
successive interference cancellation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,11,14,23,16,36,43,40,37,45,50,40,45,43,35,496
paper proposes novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,10,9,13,14,26,27,23,34,53,40,52,68,113,496
present paper study,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,4,3,10,8,14,11,11,15,21,24,33,31,33,35,32,39,38,35,23,30,27,495
semisimple lie group,0,0,0,0,0,4,0,3,4,11,0,11,5,8,15,13,14,18,12,14,17,20,18,26,17,22,15,22,28,30,20,18,14,24,24,24,23,494
base stations bss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,27,28,46,60,60,43,27,48,32,27,35,20,16,492
stochastic block model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,15,56,27,37,57,38,45,42,37,43,47,31,492
sufficient necessary conditions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,10,12,16,17,17,22,26,37,30,45,30,33,33,46,32,37,34,492
local cohomology modules,0,0,0,0,0,0,0,0,0,0,0,4,0,13,5,17,15,16,18,29,10,14,21,33,42,15,38,23,30,21,15,18,21,17,18,16,22,491
exist infinitely many,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,6,4,10,11,13,12,7,23,11,9,19,14,27,25,28,29,38,29,38,23,38,64,491
symmetric positive definite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,9,11,13,18,20,24,26,28,23,21,42,52,27,36,60,64,490
spacetime white noise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,3,12,8,6,28,14,18,20,20,40,39,36,35,41,28,42,48,41,490
show proposed method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,6,6,13,18,6,22,21,40,50,47,50,61,52,36,51,489
finite element discretization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,18,9,19,15,23,24,29,42,30,40,35,57,56,79,488
paper presents new,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,7,7,11,6,22,35,18,29,31,24,28,32,26,36,36,42,42,45,487
surfaces general type,0,0,0,0,0,0,7,0,7,5,7,15,14,5,9,8,9,17,17,16,16,27,19,27,27,25,28,20,20,19,23,12,28,22,15,16,6,486
metric measure space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,3,5,8,14,15,33,22,32,33,24,31,37,27,31,45,30,33,47,485
nonlinear elliptic equations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,7,10,11,10,28,24,26,22,22,16,29,32,33,45,35,32,41,37,485
differential equations sdes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,11,9,19,18,21,26,25,29,33,33,39,31,41,59,76,483
give alternative proof,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,6,13,9,7,19,13,13,20,19,25,33,28,39,24,24,28,11,36,30,32,37,482
aim paper study,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,7,15,10,4,12,17,13,13,23,14,20,34,27,36,26,31,26,41,40,35,26,481
sharp upper bound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,5,0,6,13,21,18,13,18,20,22,26,36,22,33,42,35,40,51,45,479
large time behavior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,9,9,11,16,27,18,21,23,19,33,38,36,27,43,37,23,34,37,476
illustrate theoretical results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,5,6,15,11,22,27,29,34,29,45,52,46,43,43,58,475
numerical results provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,10,9,16,27,31,23,44,33,37,42,37,42,44,36,29,475
strongly regular graphs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,4,9,17,17,12,15,37,38,31,20,32,19,28,24,38,31,28,61,474
intelligent surface ris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,46,85,84,123,93,31,472
general linear groups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,13,14,15,11,15,16,18,18,17,19,35,24,19,22,21,27,34,34,35,50,472
system partial differential,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,4,6,7,5,10,15,10,11,15,20,23,25,27,27,28,37,26,34,30,25,36,36,471
paper study problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,6,5,9,13,11,16,21,31,24,16,32,36,38,29,37,40,28,26,38,471
millimeter wave mmwave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,44,66,76,53,52,44,42,27,21,15,471
absolute galois group,0,0,0,0,0,0,0,0,0,0,0,10,3,5,8,10,9,7,13,19,15,19,19,22,27,27,27,28,32,25,20,19,19,16,20,27,24,470
mixed boundary conditions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,5,0,6,3,10,17,16,19,24,28,30,19,36,25,34,36,44,57,51,470
paper presents novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,13,15,10,9,23,19,22,28,34,42,53,92,94,468
number degrees freedom,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,10,5,3,10,14,17,20,10,19,23,27,29,34,34,29,26,37,36,19,29,29,468
affine hecke algebra,0,0,0,0,0,0,8,0,8,6,7,6,7,5,13,20,10,20,17,24,11,17,10,26,26,31,10,15,14,16,12,20,17,10,28,26,25,465
knot floer homology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,19,20,27,22,10,20,19,6,13,25,15,10,17,37,33,31,13,45,26,19,28,464
optimal transport problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,3,9,10,6,12,23,16,37,44,52,56,64,46,73,463
first second order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,6,12,15,9,16,19,14,29,18,30,32,35,45,37,38,26,33,27,463
nilpotent lie algebras,0,0,0,0,0,0,0,0,0,0,0,8,6,3,0,10,5,12,3,20,7,25,27,18,23,12,25,17,29,29,34,28,23,24,22,26,26,462
compact kahler manifolds,0,0,0,0,0,0,0,0,0,0,0,5,0,6,10,7,6,7,10,12,14,12,15,10,18,25,21,20,21,27,24,32,31,32,23,37,37,462
neumann boundary condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,7,5,12,6,19,19,20,15,31,24,32,34,30,41,35,34,48,38,462
