,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
transcription factors,0,0,0,0,0,0,0,0,0,0,0,6,7,9,19,23,18,13,29,18,19,26,23,36,19,19,10,14,21,12,9,8,12,17,387
findings suggest,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,8,5,0,4,5,15,5,10,19,15,11,15,23,23,20,37,60,98,387
present study,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,18,5,11,9,8,11,20,12,18,25,20,29,22,55,30,17,31,15,18,386
model predicts,0,0,0,0,0,0,0,3,0,0,0,3,3,8,7,7,8,8,12,10,4,11,25,18,26,17,26,24,44,20,24,26,27,24,385
property prediction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,20,75,94,103,61,384
escherichia coli,0,0,0,0,0,0,0,0,0,0,0,7,8,10,7,22,16,15,15,16,28,20,34,24,18,16,18,25,13,15,6,19,16,16,384
model used,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,4,8,7,4,16,18,15,18,14,17,10,18,15,56,32,37,22,33,18,383
neuronal networks,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,9,12,17,7,10,18,20,15,22,14,33,24,20,20,19,32,20,25,34,383
poorly understood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,7,13,11,23,19,21,21,21,23,25,23,18,16,17,34,78,382
good agreement,0,0,0,0,0,3,6,9,6,11,5,13,18,6,3,17,13,13,14,14,14,15,18,15,16,14,14,9,34,22,18,15,15,12,382
give rise,0,0,0,0,0,0,0,0,3,3,4,7,11,5,3,6,5,6,6,5,24,17,23,26,17,23,27,20,22,27,24,17,22,29,382
white matter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,19,37,24,45,20,44,23,54,31,41,31,381
imaging data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,9,27,29,33,33,29,39,35,45,46,36,381
working memory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,54,15,27,23,26,36,39,39,50,59,379
sequencing data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,24,28,24,21,17,13,13,27,41,27,37,37,42,378
model using,0,0,0,0,0,0,0,0,0,0,3,6,0,3,4,3,0,5,7,6,12,10,13,10,13,15,16,23,52,32,34,30,37,43,377
single cell,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,6,20,6,10,21,15,13,19,21,25,25,24,35,30,34,32,28,377
synaptic plasticity,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,6,0,11,10,7,23,25,29,25,20,19,29,35,32,32,30,31,376
method based,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,7,7,9,8,11,22,16,20,20,22,12,27,29,29,20,33,25,35,14,376
stem cells,0,0,0,0,0,0,0,0,4,0,0,0,11,4,0,0,0,6,7,0,20,58,24,19,36,24,25,30,26,25,14,16,10,15,374
protein sequence,0,0,0,0,0,0,0,0,7,0,0,3,4,5,7,0,5,3,4,5,6,10,9,11,3,18,15,21,23,19,38,51,59,48,374
learning framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,20,30,25,42,37,70,126,374
data using,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6,4,5,8,10,12,13,21,24,20,15,42,34,31,33,45,36,370
carlo simulations,0,0,0,0,4,0,0,5,5,11,12,15,15,21,12,15,9,20,14,15,19,16,12,17,9,16,17,8,17,17,9,14,13,12,369
energy landscape,0,0,0,0,0,9,5,8,8,3,7,6,8,7,23,13,13,18,8,9,22,26,6,14,16,14,12,12,13,10,16,28,15,19,368
time scale,0,0,0,0,0,0,0,5,0,0,4,4,5,9,8,20,6,8,15,14,21,21,16,23,21,23,21,15,22,19,16,16,13,22,367
initial conditions,0,0,0,0,5,0,0,3,0,4,4,10,0,4,6,7,13,5,11,12,19,21,16,17,18,19,20,16,38,23,12,17,18,29,367
cell division,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,10,0,5,7,4,12,19,15,28,35,20,34,22,22,15,20,23,32,24,366
genomic data,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,5,0,0,6,20,23,16,17,12,19,29,21,20,33,33,24,33,47,366
two distinct,0,0,0,0,0,0,3,0,0,6,0,4,0,7,6,7,5,11,4,9,15,17,14,19,23,18,11,15,25,20,15,29,40,43,366
phylogenetic tree,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,6,5,17,11,6,21,30,21,23,18,29,28,19,8,18,12,24,16,32,364
network topology,0,0,0,0,0,0,0,4,0,0,0,0,9,6,3,9,11,7,12,9,15,20,20,20,25,21,26,17,14,18,32,14,25,27,364
functional magnetic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,9,9,10,20,20,17,44,23,28,41,51,47,32,362
sequence data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,7,6,4,26,27,34,25,26,14,21,14,8,14,18,25,38,37,362
regulatory network,0,0,0,0,0,0,0,0,0,0,3,4,11,4,10,15,7,22,13,10,11,31,18,21,17,20,21,12,16,14,12,15,30,25,362
mutation rate,0,0,0,0,0,4,7,9,12,6,6,4,21,4,12,8,18,7,14,22,19,28,24,15,12,12,14,13,9,14,10,12,11,14,361
network analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,7,10,7,10,20,13,27,20,19,24,27,29,36,32,29,38,360
transfer learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,31,45,32,52,63,42,56,360
gene regulation,0,0,0,0,0,0,0,0,0,0,0,7,4,4,8,9,10,13,14,12,29,28,13,21,24,14,17,14,12,18,7,21,19,41,359
approach based,0,0,0,0,0,0,0,0,0,0,0,4,4,4,9,5,3,8,11,10,19,17,19,18,20,19,15,19,25,29,26,29,23,22,358
used model,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,5,6,16,7,7,12,17,12,24,20,15,18,26,40,25,22,26,22,26,357
simulated data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,10,10,6,31,20,24,31,20,19,31,25,30,19,22,20,24,357
learning techniques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,11,14,30,43,33,36,62,66,47,356
population genetics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,8,10,30,26,27,38,13,21,20,23,17,14,24,13,19,17,19,356
latent space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,32,30,48,60,77,87,356
recent work,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,8,6,7,9,8,14,13,14,14,19,18,20,24,39,28,20,25,30,24,354
reaction network,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,3,6,22,11,11,23,13,12,23,25,29,25,25,34,33,29,18,354
foundation models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,96,240,353
feature selection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,9,21,10,8,24,31,42,37,22,34,51,47,353
statistical physics,0,0,0,0,0,0,0,0,0,7,5,4,5,0,4,5,9,11,13,18,16,16,16,14,18,43,16,16,18,16,14,19,28,21,352
random walk,0,0,0,0,0,0,0,0,0,0,0,12,5,13,10,10,9,5,10,10,16,18,23,21,16,16,23,9,29,21,14,16,20,26,352
mechanisms underlying,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,3,0,8,11,24,12,9,16,18,12,24,20,24,17,36,48,57,350
statistical properties,0,0,0,0,0,3,7,8,4,13,5,6,8,8,16,8,12,12,10,14,25,13,20,23,19,8,11,13,15,15,10,18,11,15,350
model study,0,0,0,0,0,0,0,0,4,0,0,9,6,8,0,8,10,13,9,8,16,20,13,16,16,16,17,22,42,24,12,15,24,19,347
introduce new,0,0,0,0,0,0,0,0,0,0,3,5,4,3,0,7,10,9,5,18,11,10,9,14,14,19,25,16,30,19,32,19,29,36,347
taking account,0,0,0,0,0,0,0,0,0,3,3,6,11,5,7,9,8,14,12,14,12,16,19,17,15,20,20,12,32,17,22,20,17,15,346
code available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,4,4,9,7,16,16,41,48,87,98,345
models used,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,0,7,10,15,10,15,13,22,16,19,12,33,33,38,34,32,23,345
even though,0,0,0,0,0,0,0,3,0,5,0,5,5,0,8,11,8,8,7,12,15,22,14,20,15,23,17,10,30,24,21,24,20,18,345
living cells,0,0,0,0,0,0,0,3,0,0,3,5,6,7,7,8,8,18,16,23,24,13,13,17,21,18,20,15,21,18,15,17,13,15,344
play important,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,7,6,7,13,11,19,20,18,24,20,15,15,30,29,22,14,30,17,14,343
three different,0,0,0,0,0,0,0,0,0,3,6,0,4,6,0,7,4,0,8,7,13,20,12,18,19,19,14,29,31,31,29,17,30,16,343
model show,0,0,0,0,0,0,0,0,0,0,5,0,6,6,7,8,12,11,7,17,8,18,17,18,16,21,17,23,26,19,22,15,16,27,342
state space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,6,8,8,11,20,15,21,32,17,22,29,27,27,12,27,39,342
biologically plausible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,8,15,9,14,16,25,41,49,33,27,32,61,342
phase transitions,0,0,0,0,0,0,0,0,0,7,5,10,6,9,10,6,11,16,8,13,8,19,16,10,16,16,14,10,17,25,8,24,18,39,341
sensitivity analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,11,11,21,19,5,14,19,28,36,22,27,19,36,66,341
evolutionary game,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,13,9,12,13,10,21,21,23,24,16,30,10,23,22,14,12,24,30,340
component analysis,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,9,3,3,4,6,17,16,15,17,29,21,20,25,34,21,31,24,35,339
novel method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,13,5,20,14,15,22,15,26,24,20,24,29,32,32,32,339
freely available,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,4,4,10,18,23,21,23,20,16,22,22,30,27,20,21,19,26,337
recently proposed,0,0,0,0,0,5,0,0,0,6,8,10,5,5,0,7,6,11,17,10,15,12,26,13,15,14,18,21,18,23,14,20,18,20,337
eeg data,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,10,6,6,20,25,20,29,26,22,62,56,47,336
functional brain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,23,16,23,24,37,28,18,17,27,24,31,42,335
new insights,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,3,0,0,7,4,8,12,15,13,16,18,19,25,21,14,33,46,70,335
statistical analysis,0,0,0,0,0,0,0,0,6,0,7,5,5,12,6,12,3,10,9,9,4,16,16,12,14,17,24,19,19,22,18,10,31,28,334
proteinprotein interaction,0,0,0,0,0,0,0,0,0,0,0,5,12,8,15,11,4,11,5,15,17,6,16,19,13,24,9,18,20,15,16,22,22,29,332
transcription factor,0,0,0,0,0,0,0,0,0,0,0,6,0,12,9,19,17,13,18,18,16,33,25,28,12,15,8,7,6,8,6,9,12,35,332
epidemic models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,3,5,10,19,9,17,10,15,22,55,35,41,20,20,36,332
cell migration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,4,18,7,12,16,11,27,27,29,28,31,41,40,25,331
introduce novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,13,5,7,17,10,17,16,19,20,19,38,65,69,330
firing rate,0,0,0,0,0,0,4,0,3,0,0,0,0,11,5,8,10,10,15,7,8,14,8,31,33,22,27,28,10,12,17,14,21,10,328
prisoners dilemma,0,0,0,0,0,0,0,0,0,0,0,3,8,0,8,13,12,8,16,15,16,22,34,19,8,16,17,19,21,20,9,11,23,9,327
maximum likelihood,0,0,0,0,0,0,0,0,3,0,0,0,0,8,4,5,12,12,10,12,10,28,20,35,17,9,13,26,15,17,19,13,22,17,327
used study,0,0,0,0,0,0,0,0,3,0,5,6,4,3,3,4,5,4,5,14,11,17,10,15,28,20,15,9,30,25,10,28,29,24,327
key role,0,0,0,0,0,0,0,0,3,3,0,3,0,7,0,6,6,4,8,12,8,13,21,14,18,11,21,21,26,23,20,19,24,36,327
computer simulations,0,0,0,0,0,0,0,3,0,6,10,9,13,16,0,12,14,13,11,18,15,27,18,13,19,11,13,15,20,15,9,4,12,11,327
game theory,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,10,9,9,12,6,15,19,17,23,26,24,17,23,20,15,6,20,34,326
stochastic models,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,10,6,8,12,16,7,11,17,19,23,20,17,23,14,19,20,17,22,24,325
new approach,0,0,0,0,0,0,3,0,0,0,0,0,5,0,6,7,8,8,6,14,12,24,23,18,22,14,10,26,21,10,23,21,27,16,324
better understanding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,6,9,7,12,19,21,20,11,19,22,28,28,23,28,29,22,324
stateoftheart methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,7,18,17,15,29,32,38,34,51,65,323
metabolic networks,0,0,0,0,0,0,0,0,0,6,0,0,7,18,28,22,14,14,21,14,27,28,31,5,9,16,7,6,12,9,0,7,11,11,323
fitness landscapes,0,0,0,0,0,4,0,7,5,5,0,0,6,10,8,0,6,7,12,6,22,43,19,24,22,8,7,25,9,6,14,13,23,11,322
better understand,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,3,5,4,6,11,8,14,14,22,19,21,34,27,25,29,29,35,321
infected individuals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,7,9,13,10,14,5,10,126,31,20,19,15,27,321
dna sequence,0,0,0,0,0,0,0,0,0,5,5,7,9,3,14,5,5,5,14,13,16,22,22,18,8,19,18,10,14,8,7,27,30,16,320
eeg signals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,21,19,26,16,31,33,15,48,49,47,319
however existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,6,3,5,5,13,23,38,48,84,74,318
neural dynamics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,11,9,8,9,16,19,19,17,28,36,50,86,318
high accuracy,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,5,0,6,8,7,15,9,17,16,18,33,30,23,34,47,43,318
synthetic data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,10,7,4,9,11,15,18,20,23,23,37,60,65,317
spatial temporal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,9,4,17,11,15,17,12,19,19,17,19,17,24,24,28,57,317
simulation results,0,0,0,0,0,0,0,0,0,0,0,4,3,7,8,8,11,3,9,6,10,13,23,12,18,17,29,16,30,27,11,16,13,22,316
degrees freedom,0,0,0,0,0,4,0,5,9,7,4,9,5,5,10,9,9,15,6,12,7,12,19,12,16,10,12,13,14,8,14,34,20,16,316
brain function,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,7,10,6,15,28,9,14,20,35,13,37,21,50,42,316
boolean networks,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,13,20,17,13,13,13,19,19,13,22,13,12,17,13,9,22,16,17,19,316
learning approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8,17,20,34,26,48,45,46,63,315
protein language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,34,51,126,100,315
shed light,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,5,6,7,3,7,18,14,12,23,15,23,20,28,28,17,28,30,18,315
cell populations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,9,24,9,15,17,19,28,21,17,15,19,29,36,33,314
molecular motors,0,0,0,0,0,0,0,3,0,0,0,9,7,20,11,12,23,23,11,14,15,22,18,27,16,12,12,9,17,8,7,5,7,6,314
phase diagram,0,0,0,0,0,0,6,8,4,19,0,13,13,7,8,9,14,12,18,9,9,14,15,17,17,11,17,13,14,9,8,10,8,10,312
experiments show,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,8,6,7,7,7,11,13,15,14,12,16,16,26,33,42,41,27,310
show model,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,7,6,9,8,6,4,6,18,23,23,4,18,15,16,16,27,34,29,30,310
neuronal activity,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,7,0,7,3,9,6,13,13,14,15,17,26,18,21,16,23,31,36,26,309
future research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,4,7,6,7,8,17,18,19,27,23,33,67,60,308
interactions among,0,0,0,0,0,0,0,0,3,0,0,4,0,4,5,3,6,8,15,8,10,20,16,16,12,12,13,16,18,23,20,21,17,38,308
growth rates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,5,12,8,13,18,22,17,12,19,11,42,7,32,21,20,33,308
present new,0,0,0,0,0,0,0,3,0,0,3,6,0,3,0,7,10,5,4,7,13,14,19,17,25,20,20,18,24,14,23,19,19,14,307
neural circuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,9,3,20,10,20,23,24,10,30,27,29,26,29,36,306
using data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,4,13,10,8,19,12,11,29,51,20,31,28,26,20,306
total number,0,0,0,0,0,0,3,0,0,7,0,4,3,8,5,6,9,5,6,4,8,13,12,13,18,13,12,13,73,16,15,13,14,12,305
neural systems,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,5,8,5,6,6,12,13,12,13,22,27,9,25,19,15,12,40,44,305
using deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,18,28,28,44,37,33,38,31,31,304
extensive experiments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,6,11,26,33,68,82,69,304
secondary structures,0,0,0,0,0,0,3,7,0,16,6,18,3,11,6,8,18,12,9,14,19,5,8,14,25,19,16,7,7,6,4,13,19,10,303
numerical results,0,0,0,0,3,3,3,3,0,4,0,6,10,0,4,3,7,8,8,9,13,18,11,15,13,23,9,11,33,32,13,12,10,19,303
tumor growth,0,0,0,0,0,0,0,0,0,0,0,6,3,7,11,0,18,7,10,7,7,22,20,19,17,9,15,33,12,24,11,22,3,19,302
well known,0,0,0,0,0,0,0,3,0,0,3,3,0,9,9,6,14,6,8,12,20,12,13,17,18,18,15,18,25,19,20,12,15,6,301
new model,0,0,0,0,0,0,3,3,0,0,0,0,10,5,0,7,5,7,9,12,7,17,15,11,16,17,21,19,26,25,10,21,23,12,301
time evolution,0,0,0,0,0,0,6,7,4,8,3,7,7,8,0,10,15,5,9,4,6,13,11,14,15,13,18,10,36,22,14,15,13,8,301
protein function,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,4,0,3,4,15,11,4,10,22,21,12,7,9,12,30,20,52,52,301
sequence alignment,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,4,8,14,4,7,5,19,25,24,13,27,13,14,17,9,14,43,8,16,300
superior performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,5,9,12,16,11,24,43,88,76,299
learning approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,17,19,26,33,20,44,42,39,45,299
mechanical properties,0,0,0,0,0,0,0,0,0,0,5,6,0,4,3,3,5,7,6,15,19,19,15,9,11,18,25,19,15,17,20,23,22,12,298
feature extraction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,21,14,28,20,25,37,27,53,58,298
maximum entropy,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,13,18,5,16,21,19,23,27,13,32,14,16,14,13,17,10,14,298
prediction accuracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,0,8,16,15,22,27,22,16,21,19,59,55,298
deep learningbased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,29,23,38,56,68,58,297
classification accuracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,11,16,32,30,21,46,24,29,65,297
contrastive learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,31,64,79,97,297
gives rise,0,0,0,0,0,0,0,3,3,3,3,3,4,7,4,6,4,10,9,4,14,12,19,17,20,18,19,13,16,11,16,19,17,22,296
proposed approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,6,6,15,8,11,14,20,15,21,36,29,24,19,30,29,295
diffusion model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,6,5,7,9,0,10,0,9,6,16,54,92,74,295
mathematical modeling,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,3,7,9,7,16,17,17,16,14,21,14,37,22,28,20,13,21,294
mutation rates,0,0,0,0,0,0,0,0,9,15,0,6,11,6,0,7,14,13,4,11,16,10,19,18,18,16,11,14,8,14,15,13,10,16,294
diffusion models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,61,123,95,293
also find,0,0,0,0,0,0,0,0,0,0,3,0,6,3,6,6,0,11,8,9,12,13,16,18,18,9,17,23,32,12,12,18,21,20,293
random forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,6,12,7,37,35,33,22,25,42,63,293
species tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,15,21,9,22,33,25,43,17,27,21,18,3,13,4,0,293
models trained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,19,20,17,37,36,62,93,292
paper introduce,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,3,7,4,5,13,4,13,10,7,21,22,22,20,17,32,44,35,291
models based,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,4,6,7,8,6,11,7,6,15,13,17,11,31,24,23,27,30,31,291
finally show,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,5,5,4,12,11,14,12,18,17,18,13,18,14,26,21,20,24,26,290
brain connectivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,5,4,26,26,25,21,25,25,26,24,41,29,290
model selection,0,0,0,0,0,0,0,0,0,7,0,3,0,4,0,0,0,15,4,16,8,9,11,14,10,26,17,18,13,13,14,35,16,36,289
spiking neurons,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,6,6,4,7,18,25,19,24,21,15,25,20,13,25,19,9,17,289
prior knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,7,5,7,7,8,14,6,9,21,26,17,30,31,37,53,289
point view,0,0,0,0,0,0,0,0,0,0,3,0,5,5,6,14,7,12,19,9,18,20,14,26,15,21,15,12,17,15,8,12,8,8,289
biologically relevant,0,0,0,0,0,0,0,0,0,0,5,0,4,0,6,0,10,6,13,6,5,12,6,11,20,17,16,17,12,13,17,17,26,50,289
fitness landscape,0,0,0,0,0,8,0,5,10,0,4,0,4,5,6,3,11,11,9,13,17,21,21,13,14,8,10,18,18,11,17,13,9,9,288
population growth,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,5,7,0,3,5,5,25,18,5,32,14,23,11,22,13,14,25,20,24,288
data collected,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,5,0,11,10,13,13,20,16,44,25,24,22,31,44,287
source code,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,9,15,8,14,11,14,16,17,22,24,43,40,39,287
stochastic dynamics,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,10,8,10,12,8,16,14,22,11,17,15,15,11,12,12,8,12,22,30,285
powerful tool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,10,8,5,10,11,11,11,12,15,15,25,15,32,45,42,285
cancer cell,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,10,0,14,14,14,13,13,28,25,23,15,21,30,26,26,284
computational cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,9,8,14,16,16,17,15,17,26,19,35,31,49,284
probability distributions,0,0,0,0,0,0,0,0,0,4,0,0,5,0,8,3,6,3,12,8,17,15,13,16,23,16,18,17,13,17,18,14,18,20,284
action potential,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,4,0,5,0,5,17,9,13,14,10,13,37,11,19,31,16,15,19,31,284
evolution cooperation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,22,28,20,24,17,15,17,9,18,14,20,11,11,19,10,283
results showed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,4,3,10,5,9,18,11,21,17,22,27,32,30,24,35,283
first step,0,0,0,0,0,0,0,4,0,3,3,0,3,8,0,3,3,3,4,6,7,12,15,12,22,19,22,17,16,21,23,21,21,15,283
chemical reactions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,7,12,10,10,25,10,11,9,13,24,11,9,12,25,19,34,17,281
different levels,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,6,6,10,8,11,18,17,14,13,18,18,29,22,21,19,19,16,280
case studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,13,7,9,5,4,11,17,27,22,26,32,48,46,280
also provide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,9,5,3,14,9,17,14,13,14,26,33,16,26,19,22,25,280
binding site,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,12,10,0,7,13,7,20,5,30,17,8,9,8,23,9,18,18,28,26,280
remains unclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,9,10,10,15,11,17,22,14,14,15,27,38,63,279
biological data,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,10,0,4,3,14,14,16,15,14,12,14,23,18,20,18,32,40,279
wide variety,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,4,7,3,8,14,15,19,17,16,16,19,19,21,26,21,22,17,278
protein design,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,12,5,5,11,24,39,62,103,278
